Наименование;Кол-во;Розница;от 10шт; от 100шт ; от 1000шт ;Размер;Примечание;Примечание
0,01mkF 2000V Y5P 10%;496;6;5;4;0;;;
1000pF 2000V Y5P 10%;647;6;5;2,5;0;;;
1500pF 2000V Y5P 10%;841;6;5;2,5;0;;;
2200pF 2000V Y5P 10%;917;6;5;2,5;0;;(К15-5);Ether
3300pF 2000V Y5P 10%;410;6;5;2,5;0;;;
4700pF 2000V Y5P 10%;997;6;5;3;0;;;
0,022F 5,5V ионистор (Panasonic EECS0HD223V);2917;15;12;10;8;;;
0,33F x 5,5V (ионистор);2;80;0;0;0;;(5R5D10F33V);вертикальный
1,0F x 5,5V (ионистор);12;150;125;0;0;;;
1,8F x 5,5V (ионистор);2;150;125;0;0;;;
100F x 2,7V (EDLC);3;520;450;0;0;22x45mm;;
2,0F x 5,5V (ионистор) 5R5D20F200H;9;150;130;0;0;;;
0,15mkF  Y5V;843;8;6;4;3;;Y5V;
0,1mkF  Y5V;657;8;6;4;3;;Y5V;
0,22mkF  Y5V;654;8;6;4;3;;Y5V;
0,33mkF  Y5V;1035;8;6;4;3;;Y5V;
0,47mkF  Y5V;1727;8;6;4;3;;Y5V;
0,68mkF  Y5V;1269;8;6;4;3;;Y5V;  +80-20%
1,0mkF  Y5V;818;10;8;5;4;;Y5V;  +80-20%
1,0pF  NPO;823;6;5;3;2;;NPO;5%
1,2pF  NPO;770;6;5;3;2;;NPO;5%
1,5mkF  Y5V;814;10;8;5;4;;Y5V;
1,5pF  NPO;1509;6;5;3;2;;NPO;5%
1000pF  (1n0)  X7R;3601;6;5;3;2;;X7R;10%
100pF  NPO;1218;6;5;3;2;;NPO;5%
10mkF Y5V;136;15;12;8;0;;;
10nF (0,01mkF)  X7R;729;6;5;3;2;;Y5V;
10pF  NPO;829;6;5;3;2;;NPO;5%
1100pF  (1n1)  X7R;1551;6;5;3;2;;X7R;10%
1200pF  (1n2)  X7R;1154;6;5;3;2;;X7R;10%
120pF  NPO;2633;6;5;3;2;;NPO;5%
12pF  NPO;1429;6;5;3;2;;NPO;5%
1500pF  (1n5)  X7R;1407;6;5;3;2;;X7R;10%
150pF  NPO;1371;6;5;3;2;;NPO;5%
15nF (0,015mkF)  Y5V;2130;6;5;3;2;;Y5V;10%
15pF  NPO;1097;6;5;3;2;;NPO;5%
16pF  NPO;721;6;5;3;2;;NPO;5%
1800pF  (1n8)  X7R;639;6;5;3;2;;X7R;10%
180pF  NPO;1006;6;5;3;2;;NPO;5%
18pF  NPO;1094;6;5;3;2;;NPO;5%
2,0pF  NPO;1026;6;5;3;2;;NPO;5%
2,2mkF  Y5V;286;10;8;6;4;;Y5V;
2,2pF  NPO;701;6;5;3;2;;NPO;5%
2000pF  (2n0)  X7R;785;6;5;3;2;;X7R;10%
200pF  NPO;1628;6;5;3;2;;NPO;5%
20pF  NPO;1522;6;5;3;2;;NPO;5%
2200pF  (2n2)  X7R;1029;6;5;3;2;;X7R;10%
220pF  NPO;331;6;5;3;2;;NPO;5%
22nF (0,022mkF)  Y5V;2575;6;5;3;2;;Y5V;
22pF  NPO;1091;6;5;3;2;;NPO;5%
2400pF  (2n4)  X7R;1760;6;5;3;2;;X7R;10%
240pF  NPO;890;6;5;3;2;;NPO;5%
24pF  NPO;667;6;5;3;2;;NPO;5%
2700pF  (2n7)  X7R;1375;6;5;3;2;;X7R;10%
270pF  NPO;1544;6;5;3;2;;NPO;5%
27nF (0,027mkF)  Y5V;1158;6;5;3;2;;Y5V;
27pF  NPO;3459;6;5;3;2;;NPO;5%
3,3pF  NPO;745;6;5;3;2;;NPO;5%
3,9pF  NPO;1356;6;5;3;2;;NPO;5%
3000pF  (3n0)  X7R;1921;6;5;3;2;;X7R;10%
300pF  NPO;376;6;5;3;2;;NPO;5%
30pF NP0;5828;6;5;3;2;;К10-17Б-М47-10%;5%
3300pF  (3n3)  X7R;1040;6;5;3;2;;X7R;10%
330pF  NPO;1148;6;5;3;2;;NPO;5%
33nF (0,033mkF)  Y5V;1029;6;5;3;2;;Y5V;
33pF  NPO;1017;6;5;3;2;;NPO;5%
3600pF  (3n6)  X7R;1094;6;5;3;2;;X7R;10%
360pF  NPO;844;6;5;3;2;;NPO;5%
36pF  NPO;1718;6;5;3;2;;NPO;5%
3900pF  (3n9)  X7R;956;6;5;3;2;;X7R;10%
390pF  NPO;476;6;5;3;2;;NPO;5%
39pF  NPO;1644;6;5;3;2;;NPO;5%
4,7pF  NPO;1189;6;5;3;2;;NPO;5%
4300pF  (4n3)  X7R;1631;6;5;3;2;;X7R;10%
430pF  NPO;1824;6;5;3;2;;NPO;5%
43pF  NP0;2127;6;5;3;2;;NP0;5%
4700pF  (4n7)  X7R;646;6;5;3;2;;X7R;10%
470pF  NP0;1475;6;5;3;2;;NP0;5%
47nF (0,047mkF)  Y5V;2846;6;5;3;2;;Y5V;
47pF  NPO;1161;6;5;3;2;;NPO;5%
5,6pF  NPO;824;6;5;3;2;;NPO;5%
5100pF  (5n1)  X7R;2165;6;5;3;2;;X7R;10%
510pF  NPO;948;6;5;3;2;;NPO;5%
51pF  NPO;1542;6;5;3;2;;NPO;5%
5600pF  (5n6)  X7R;965;6;5;3;2;;X7R;10%
560pF  NPO;938;6;5;3;2;;NPO;5%
56pF  NPO;512;6;5;3;2;;NPO;5%
6,8pF  NPO;977;6;5;3;2;;NPO;5%
6200pF  (6n2)  X7R;1330;6;5;3;2;;X7R;10%
620pF  NPO;1273;6;5;3;2;;NPO;5%
62pF  NPO;2042;6;5;3;2;;NPO;5%
6800pF  (6n8)  X7R;1219;6;5;3;2;;X7R;10%
680pF  NPO;1255;6;5;3;2;;NPO;5%
68nF (0,068mkF)  Y5V;1555;6;5;3;2;;Y5V;  отечеств-2500шт
68pF  NPO;1892;6;5;3;2;;NPO;5%
7,5pF  NPO;1244;6;5;3;2;;NPO;5%
7500pF  (7n5)  X7R;875;6;5;3;2;;X7R;10%
750pF  NP0;458;6;5;3;2;;NP0;5%
75pF  NPO;924;6;5;3;2;;NPO;5%
8,2pF  NPO;1052;6;5;3;2;;NPO;5%
8200pF  (8n2)  X7R;1148;6;5;3;2;;X7R;10%
820pF  NPO;847;6;5;3;2;;NP0;5%
82pF  NPO;595;6;5;3;2;;NP0;5%
9100pF  (9n1)  X7R;1259;6;5;3;2;;X7R;10%
910pF  NP0;685;6;5;3;2;;NP0;5%
91pF  NPO;1005;6;5;3;2;;NPO;5%
КТ-1 М47 2,7пФ;180;5;4;3;0;;;
КТ-2 М750 15пФ 10%  500В;4931;10;8;5;3;;;
КТ-2 М750 27пФ 500В;1840;10;8;5;3;;;
КТ-2 М750 300пФ 5% (500В);40;10;8;0;0;;;
КТ-2 М750 33пФ 10%  500В;825;10;8;5;0;;;
КТ-2 М750 6,8пФ 10% 500В;460;10;8;5;0;;;
КТ3 М47 15пФ 5%;33;10;8;0;0;;;
0603 0,033mkF 50V (Y5V) Murata (GRM188R71H333KA);198980;4;3;1;0,1;0603;(GRM188R71H333KA);Y5V
0805 0,15mkF (X7R);2168;3;2;1,5;1;0805;;
0805 0,1mkF 50V (X7R);7582;3;2;1,5;1,1;0805;;  +80/-20%
0805 0,22mkF 50V (X7R);2906;3;2;1;0,8;0805;;
0805 0,33mkF 25(50)V (Y5V);1519;3;2;1,5;1,1;0805;;Samsung
0805 0,47mkF 50V (Y5V);402;3;2;1,5;0;0805;;
0805 0,68mkF (Y5V);2270;3;2;1,5;1;0805;;
0805 1,0mkF (Y5V) 50V;1670;3;2;1,5;1;;;
0805 1,0mkF 10% (X7R) 16V;102;4;3;1,5;0,8;;;
0805 1,5mkF (Y5V);144;4;3;1,5;1;0805;;
0805 100pF NP0;266;2;1,5;0,5;0,35;0805;;
0805 10mkF 16V X5R 10%;1244;4;3;2;1,7;;;
0805 10nF (Y5V);2603;3;2;1;0,35;0805;;
0805 10pF NP0;2068;3;2;1;0,3;0805;;
0805 2,2pF (NPO);3283;3;2;1;0,3;0805;;
0805 2200pF (X7R);3363;3;2;1;0,6;0805;;
0805 22pF NP0;2371;3;2;1;0,6;;;
0805 330pF (X7R);368;3;2;1;0,3;0805;;
0805 4,7mkF 16V X7R (SMD);2827;4;3;1,5;1;0805;;
0805 47nF (Y5V);13703;3;2;1;0,25;0805;;
